date,mlp_wide_vote,wide_deep_vote,resnet_mlp_vote,mlp_small_vote,se_mlp_vote,stacked_gru_ln_vote,ensemble_vote_pred,Date,Close,High,Low,Open,Volume,forward_return_10,forward_return_15,forward_return_30,forward_return_60,close_diff_next_day,target_period,forward_binary_10,forward_binary_15,forward_binary_30,forward_binary_60,predicted_horizon_days,predicted_return
2022-04-27,2,0,0,0,0,0,0,2022-04-27,4183.9599609375,4240.7099609375,4162.89990234375,4186.52001953125,4769680000,0.0632194800793151,0.0663356934896681,0.0413507548251075,0.0547337095109192,-103.5400390625,1,0,1,0,0,60,0.0547337095109192
2022-04-28,2,1,0,0,0,0,0,2022-04-28,4287.5,4308.4501953125,4188.6298828125,4222.580078125,4854180000,0.0909446919070211,0.0991363177881885,0.0991165747888509,0.0934570960861351,155.56982421875,1,0,1,0,0,60,0.0934570960861351
2022-04-29,2,2,2,2,2,2,2,2022-04-29,4131.93017578125,4269.68017578125,4124.27978515625,4253.75,5084030000,0.0268497116191972,0.0590999195180015,0.1019568077161783,0.0269211144885956,-23.44970703125,2,0,0,1,0,15,0.0590999195180015
2022-05-02,2,2,2,2,2,2,2,2022-05-02,4155.3798828125,4169.81005859375,4062.510009765625,4130.60986328125,5163790000,0.0367688385727091,0.0457074256841774,0.1124085537974315,0.0203686625833381,-20.10009765625,2,0,0,1,0,15,0.0457074256841774
2022-05-03,2,2,2,2,2,2,2,2022-05-03,4175.47998046875,4200.10009765625,4147.080078125,4159.77978515625,4582050000,0.0211868571220443,0.0593685623571709,0.1017126671119614,0.0109411060673374,-124.68994140625,2,0,0,1,0,15,0.0593685623571709
2022-05-04,2,2,2,2,2,2,2,2022-05-04,4300.169921875,4307.66015625,4148.91015625,4181.18017578125,5136360000,0.0959532879321662,0.0807895843608819,0.1727405588487718,0.0440777744608922,153.2998046875,2,0,0,1,0,15,0.0807895843608819
2022-05-05,2,2,2,2,2,2,2,2022-05-05,4146.8701171875,4270.43017578125,4106.009765625,4270.43017578125,5077030000,0.063084676606727,0.0219402508153432,0.1284491346582164,0.0136097752924448,23.5302734375,2,0,0,1,0,15,0.0219402508153432
2022-05-06,2,2,2,2,2,2,2,2022-05-06,4123.33984375,4157.68994140625,4067.909912109375,4128.169921875,5116940000,0.0568980381754133,-0.0083930674174349,0.0952376629154025,-0.0076603553461026,132.099853515625,2,0,0,1,0,15,-0.0083930674174349
2022-05-09,2,2,2,2,2,2,2,2022-05-09,3991.239990234375,4081.27001953125,3975.47998046875,4081.27001953125,5954520000,0.004401381625511,-0.0341008713235333,0.0615310831609525,-0.0387047870247965,-9.81005859375,2,0,0,1,0,15,-0.0341008713235333
2022-05-10,2,2,2,2,2,2,2,2022-05-10,4001.050048828125,4068.820068359375,3958.169921875,4035.179931640625,5885820000,0.0151136295641645,-0.0244268017442842,0.0540923799679815,-0.0347728076675843,65.8701171875,2,0,0,1,0,15,-0.0244268017442842
2022-05-11,2,2,2,2,2,2,2,2022-05-11,3935.179931640625,4049.090087890625,3928.820068359375,3990.080078125,5816140000,-0.0109457161058701,-0.057852601440217,0.0059922033327286,-0.0494872354636122,5.099853515625,2,0,0,1,0,15,-0.057852601440217
2022-05-12,2,2,2,2,2,2,2,2022-05-12,3930.080078125,3964.800048828125,3858.8701171875,3903.949951171875,6286450000,-0.0314847325174014,-0.0434363445994849,0.0076843909217056,-0.046668654154495,-93.809814453125,2,0,0,1,0,15,-0.0434363445994849
2022-05-13,2,2,2,2,2,2,2,2022-05-13,4023.889892578125,4038.8798828125,3963.89990234375,3963.89990234375,5183340000,-0.0323094227904964,-0.0236666106285873,0.0529470610523725,-0.0442612134755151,15.8798828125,2,0,0,1,0,15,-0.0236666106285873
