date,mlp_wide_vote,wide_deep_vote,resnet_mlp_vote,mlp_small_vote,se_mlp_vote,stacked_gru_ln_vote,ensemble_vote_pred,Date,Close,High,Low,Open,Volume,forward_return_10,forward_return_15,forward_return_30,forward_return_60,close_diff_next_day,target_period,forward_binary_10,forward_binary_15,forward_binary_30,forward_binary_60,predicted_horizon,predicted_return,signal,win
2001-01-10,0,0,0,0,0,0,0,2001-01-10,1313.27001953125,1313.760009765625,1287.280029296875,1300.800048828125,1296500000,4.4239990234375,4.013330078125,-2.247001139322917,-3.080666097005208,-13.5499267578125,0,1,0,0,0,10,4.4239990234375,1,1
2001-01-11,0,0,0,0,0,0,0,2001-01-11,1326.8199462890625,1332.18994140625,1309.719970703125,1313.27001953125,1411200000,2.81300048828125,1.5100016276041666,-1.9723307291666667,-3.1538330078125,8.2698974609375,0,1,0,0,0,10,2.81300048828125,1,1
2001-01-12,0,0,0,0,0,0,0,2001-01-12,1318.550048828125,1333.2099609375,1311.5899658203125,1326.8199462890625,1276000000,4.56199951171875,2.3840006510416667,-2.0203369140625,-2.5028340657552084,-8.0999755859375,0,1,0,0,0,10,4.56199951171875,1,1
2001-01-16,0,0,0,0,0,0,0,2001-01-16,1326.6500244140625,1327.81005859375,1313.3299560546875,1318.3199462890625,1205700000,4.70799560546875,1.7073323567708334,-2.890336100260417,-2.67933349609375,-2.8199462890625,0,1,0,0,0,10,4.70799560546875,1,1
2001-01-17,0,0,0,0,0,0,0,2001-01-17,1329.469970703125,1346.9200439453125,1325.4100341796875,1326.6500244140625,1349100000,3.65400390625,0.7613362630208333,-2.9413330078125,-2.4328328450520837,-18.5,0,1,0,0,0,10,3.65400390625,1,1
2001-01-18,0,0,0,0,0,0,0,2001-01-18,1347.969970703125,1352.7099609375,1327.4100341796875,1329.8900146484375,1445000000,2.55,-1.0293294270833333,-3.7929972330729167,-2.804831949869792,5.429931640625,0,1,0,0,0,10,2.55,1,1
2001-01-19,0,0,0,0,0,0,0,2001-01-19,1342.5400390625,1354.550048828125,1336.739990234375,1347.969970703125,1407800000,0.6929931640625,-1.852001953125,-3.3710001627604167,-2.512166341145833,-0.3599853515625,0,1,0,0,0,10,0.6929931640625,1,1
2001-01-22,0,0,0,0,0,0,0,2001-01-22,1342.9000244140625,1353.6199951171875,1333.8399658203125,1342.5400390625,1164000000,1.14100341796875,-0.8393310546875,-2.9699991861979167,-1.74566650390625,-17.5,0,1,0,0,0,10,1.14100341796875,1,1
2001-01-23,0,0,0,0,0,0,0,2001-01-23,1360.4000244140625,1362.9000244140625,1339.6300048828125,1342.9000244140625,1232600000,-0.81400146484375,-2.773331705729167,-3.2836669921875,-1.7785013834635417,-3.9000244140625,0,1,0,0,0,10,-0.81400146484375,1,0
2001-01-24,0,0,0,0,0,0,0,2001-01-24,1364.300048828125,1369.75,1357.280029296875,1360.4000244140625,1309000000,-2.34100341796875,-3.225333658854167,-3.3186686197916666,-2.0220011393229167,6.7900390625,3,0,0,0,1,10,-2.34100341796875,1,0
2001-01-25,3,3,3,3,0,0,3,2001-01-25,1357.510009765625,1367.3499755859375,1354.6300048828125,1364.300048828125,1258000000,-2.497998046875,-2.0600016276041666,-4.136332194010417,-2.2191670735677085,2.56005859375,1,0,1,0,0,60,-2.2191670735677085,1,0
2001-01-26,3,3,3,3,0,0,3,2001-01-26,1354.949951171875,1357.510009765625,1342.75,1357.510009765625,1098000000,-4.018994140625,-3.561328125,-5.82633056640625,-2.424666341145833,-9.2200927734375,3,0,0,0,1,60,-2.424666341145833,1,0
2001-01-29,3,0,0,3,3,0,0,2001-01-29,1364.1700439453125,1365.5400390625,1350.3599853515625,1354.9200439453125,1053100000,-3.38599853515625,-5.6820068359375,-5.550333658854167,-2.257000732421875,-9.5599365234375,3,0,0,0,1,10,-3.38599853515625,1,0
2001-01-30,3,3,0,3,3,0,3,2001-01-30,1373.72998046875,1375.6800537109375,1356.199951171875,1364.1700439453125,1149800000,-5.4929931640625,-7.897330729166667,-6.900667317708334,-2.320166015625,7.719970703125,3,0,0,0,1,60,-2.320166015625,1,0
2001-01-31,3,3,0,3,3,0,3,2001-01-31,1366.010009765625,1383.3699951171875,1364.6600341796875,1373.72998046875,1295300000,-5.00899658203125,-7.546004231770834,-6.414998372395833,-1.882666015625,-7.4599609375,3,0,0,0,1,60,-1.882666015625,1,0
2001-02-01,3,3,3,3,3,0,3,2001-02-01,1373.469970703125,1373.5,1359.3399658203125,1366.010009765625,1118800000,-4.68599853515625,-8.507332356770833,-7.431331380208333,-2.06683349609375,24.0,3,0,0,0,1,60,-2.06683349609375,1,0
2001-02-02,3,3,0,3,3,0,3,2001-02-02,1349.469970703125,1376.3800048828125,1348.719970703125,1373.469970703125,1048400000,-4.793994140625,-5.4546630859375,-5.955330403645833,-1.3838338216145831,-4.840087890625,3,0,0,0,1,60,-1.3838338216145831,1,0
2001-02-05,3,3,3,3,0,0,3,2001-02-05,1354.31005859375,1354.56005859375,1344.47998046875,1349.469970703125,1013000000,-7.53701171875,-6.424674479166667,-7.05633544921875,-1.4480000813802083,2.050048828125,3,0,0,0,1,60,-1.4480000813802083,1,0
2001-02-06,3,3,3,3,3,0,3,2001-02-06,1352.260009765625,1363.550048828125,1350.0400390625,1354.31005859375,1059600000,-9.6989990234375,-7.488004557291666,-7.67066650390625,-1.7280008951822916,11.3699951171875,3,0,0,0,1,60,-1.7280008951822916,1,0
2001-02-07,3,3,3,3,3,0,3,2001-02-07,1340.8900146484375,1352.260009765625,1334.260009765625,1352.260009765625,1158300000,-8.8070068359375,-6.644002278645833,-7.443668619791667,-1.23800048828125,8.3599853515625,3,0,0,0,1,60,-1.23800048828125,1,0
2001-02-08,3,3,3,3,3,0,3,2001-02-08,1332.530029296875,1350.3199462890625,1332.4200439453125,1341.0999755859375,1107200000,-8.66700439453125,-6.5566650390625,-6.423335774739583,-1.1503336588541666,17.77001953125,3,0,0,0,1,60,-1.1503336588541666,1,0
2001-02-09,3,3,0,3,0,0,3,2001-02-09,1314.760009765625,1332.530029296875,1309.97998046875,1332.530029296875,1075500000,-4.71099853515625,-4.889998372395834,-5.402335611979167,-0.8926676432291667,-15.550048828125,3,0,0,0,1,60,-0.8926676432291667,1,0
2001-02-12,3,3,3,3,3,0,3,2001-02-12,1330.31005859375,1330.9599609375,1313.6400146484375,1314.760009765625,1039100000,-7.23701171875,-5.100667317708333,-4.93800048828125,-1.2461669921875,11.510009765625,3,0,0,0,1,60,-1.2461669921875,1,0
2001-02-13,3,3,3,3,3,0,3,2001-02-13,1318.800048828125,1336.6199951171875,1317.510009765625,1330.31005859375,1075200000,-7.8860107421875,-3.7940022786458334,-5.517000325520834,-1.060333251953125,2.8800048828125,3,0,0,0,1,60,-1.060333251953125,1,0
2001-02-14,3,3,3,3,3,0,3,2001-02-14,1315.9200439453125,1320.72998046875,1304.719970703125,1318.800048828125,1150300000,-7.46900634765625,-3.412003580729167,-5.599003092447917,-1.1708333333333334,-10.68994140625,3,0,0,0,1,60,-1.1708333333333334,1,0
2001-02-15,3,3,3,3,3,0,3,2001-02-15,1326.6099853515625,1331.2900390625,1315.9200439453125,1315.9200439453125,1153700000,-9.2429931640625,-6.212662760416666,-5.542667643229167,-1.2948323567708333,25.0799560546875,3,0,0,0,1,60,-1.2948323567708333,1,0
2001-02-16,3,3,3,3,3,0,3,2001-02-16,1301.530029296875,1326.6099853515625,1293.1800537109375,1326.6099853515625,1257200000,-6.01199951171875,-8.0913330078125,-5.188667805989583,-0.8681681315104167,22.590087890625,3,0,0,0,1,60,-0.8681681315104167,1,0
