date,voting_prediction,voting_confidence,voting_class,prob_60day,prob_30day,prob_15day,prob_10day,actual_return_60day,actual_return_30day,actual_return_15day,actual_return_10day,return_immediate,return_with_critic
19,60-day,0.5422239998976389,0,0.5422239998976389,0.2743646080295245,0.1575255937253435,0.0258858038578182,1.8948435,1.5226299,3.1946084,2.0106645,1.8948435,1.8948435
20,15-day,0.9688864747683208,2,0.0084929174239126,0.0089129394230743,0.9688864747683208,0.0137076736476349,1.4109758,0.936917,1.7883496,1.2948387,1.7883496,1.7883496
21,15-day,0.964423288901647,2,0.0112392118123049,0.0107203378574922,0.964423288901647,0.013617174263345,1.3533128,0.8670307,2.0448604,2.5244153,2.0448604,2.0448604
22,15-day,0.961275021235148,2,0.0104029724898282,0.0088995474119049,0.961275021235148,0.0194224992010276,1.0887909,0.54473937,0.77802896,1.52397,0.77802896,0.77802896
23,15-day,0.9618937273820242,2,0.016037497902289,0.0125281248474493,0.9618937273820242,0.0095406844823931,1.0994743,1.0235862,1.9064143,2.123526,1.9064143,1.9064143
24,15-day,0.9679213960965476,2,0.00997181898371,0.0088517184679706,0.9679213960965476,0.0132550484073969,1.6015337,2.05145,2.7249455,2.9676082,2.7249455,2.7249455
25,15-day,0.9542258977890016,2,0.0167591010297959,0.015100329920339,0.9542258977890016,0.0139146543418367,0.73887634,2.101988,1.7258474,1.0162643,1.7258474,1.7258474
26,15-day,0.9679936667283376,2,0.0082550506631378,0.0078420170854466,0.9679936667283376,0.0159092691368035,0.653922,2.2879627,1.3916411,1.3182478,1.3916411,1.3916411
27,15-day,0.9659030636151632,2,0.0106163150824916,0.0089806900941766,0.9659030636151632,0.0144999651965918,0.53169113,2.097644,1.7325513,0.84386116,1.7325513,1.7325513
28,15-day,0.9533332685629526,2,0.0130539719927279,0.0115310890056813,0.9533332685629526,0.0220816442306386,0.9613172,3.3614886,2.2671075,3.1200929,2.2671075,2.2671075
29,15-day,0.9609219332536062,2,0.0087132086191559,0.0063150598628756,0.9609219332536062,0.024049777869853,0.5662912,2.573383,0.79853725,2.1194222,0.79853725,0.79853725
30,15-day,0.9608721435070038,2,0.0109344672916146,0.0077435611359154,0.9608721435070038,0.020449802619017,0.29051808,1.9824302,0.041576993,1.9310726,0.041576993,0.041576993
31,15-day,0.955456535021464,2,0.0092643630947956,0.0080068397316305,0.955456535021464,0.0272722598844363,-0.11198152,1.3826675,-0.5999547,0.3328346,-0.5999547,-0.5999547
32,15-day,0.960582305987676,2,0.0139902819258471,0.0110760071741727,0.960582305987676,0.0143514351317814,-0.061002325,1.250306,-0.35854077,0.65896434,-0.35854077,-0.35854077
33,15-day,0.9578551153341928,2,0.0093878476084986,0.0082045676341901,0.9578551153341928,0.0245524735219078,-0.25177893,0.394429,-1.1926732,-0.13440114,-1.1926732,-1.1926732
34,60-day,0.4656710426012675,0,0.4656710426012675,0.3871560916304588,0.122244535634915,0.0249283436375359,-0.21523525,0.42453918,-0.8329191,-0.7597026,-0.21523525,-0.21523525
35,60-day,0.4773963193098704,0,0.4773963193098704,0.3517380977670352,0.1456870076557,0.0251785710764427,-0.18402213,1.2299266,-0.3395704,-0.78480995,-0.18402213,-0.18402213
36,60-day,0.4856026694178581,0,0.4856026694178581,0.3946215709050496,0.0937872690459092,0.0259884996339678,-0.22421014,1.1692797,-0.6646546,-0.71579283,-0.22421014,-0.22421014
37,30-day,0.9613148073355356,1,0.0378636287641711,0.9613148073355356,0.0002943058257187,0.0005272766000719,-0.18964176,1.7143043,0.08780293,0.10693715,1.7143043,1.7143043
38,60-day,0.533588911096255,0,0.533588911096255,0.3903332004944483,0.0565585121512413,0.0195193301575879,-0.73696256,0.7452832,-0.3336821,-1.6462837,-0.73696256,-0.73696256
39,30-day,0.9588841994603476,1,0.0401706718839705,0.9588841994603476,0.0003279914179377,0.0006171464920043,-0.82806,0.6101122,0.25057563,-1.3406055,0.6101122,0.6101122
40,30-day,0.9443653027216592,1,0.0546120617073029,0.9443653027216592,0.0003828333383353,0.0006398062738905,-0.7406857,0.5482495,1.2608273,-1.4267977,0.5482495,0.5482495
41,60-day,0.643306369582812,0,0.643306369582812,0.28110047057271,0.0601869480063517,0.0154062137007713,-0.5483875,0.61211604,1.8427786,-1.1689707,-0.5483875,-0.5483875
42,60-day,0.6665141433477402,0,0.6665141433477402,0.2773210753997167,0.042861966881901,0.0133028220928584,-0.4901566,0.47991693,1.248492,-1.0903962,-0.4901566,-0.4901566
43,60-day,0.725405141711235,0,0.725405141711235,0.2167577395836512,0.0404680175706744,0.0173690765708064,-0.109162316,0.86162615,2.3741136,-0.09736417,-0.109162316,-0.109162316
44,60-day,0.6778944134712219,0,0.6778944134712219,0.2543627955019474,0.0522045179580648,0.0155382823431864,0.16722418,1.4016091,2.8518631,1.423999,0.16722418,0.16722418
45,60-day,0.6402533948421478,0,0.6402533948421478,0.2864599016805489,0.059519302410384,0.0137673917536934,0.44453815,1.9561621,2.8589914,3.516488,0.44453815,0.44453815
46,60-day,0.6745424171288809,0,0.6745424171288809,0.238122080763181,0.0684686163440346,0.0188668911966184,0.18305832,1.892218,2.721749,3.4317393,0.18305832,0.18305832
47,60-day,0.6735735187927882,0,0.6735735187927882,0.2310641693572203,0.0730601390823721,0.0223022064892575,0.52905434,1.3843517,2.259511,2.6989925,0.52905434,0.52905434
48,60-day,0.6856016318003336,0,0.6856016318003336,0.1970228304465612,0.0880853170529007,0.0292902029274652,0.8601499,1.8947754,1.9420872,4.433693,0.8601499,0.8601499
49,60-day,0.6066138098637263,0,0.6066138098637263,0.226867231229941,0.1319042139997085,0.03461476873296,0.787887,1.0645595,1.5846571,3.7918656,0.787887,0.787887
50,60-day,0.5733855242530504,0,0.5733855242530504,0.1939115356653928,0.2104206476360559,0.0222822364109257,0.9354279,1.013635,2.209243,3.082863,0.9354279,0.9354279
51,60-day,0.9798353811105092,0,0.9798353811105092,0.0190569011416907,0.0005357815055807,0.0005719458409506,1.023352,1.007437,2.4848971,3.4441142,1.023352,1.023352
52,60-day,0.4650824790199597,0,0.4650824790199597,0.2875028861065705,0.2133482371767362,0.0340664330869913,1.0225624,0.98012537,2.4290886,2.7657948,1.0225624,1.0225624
53,60-day,0.9701770842075348,0,0.9701770842075348,0.0288000584502394,0.0005504266908549,0.0004724592549791,0.7535306,0.51648146,1.5067427,1.024444,0.7535306,0.7535306
54,60-day,0.4647776062289874,0,0.4647776062289874,0.26547705133756,0.2349592049916585,0.0347860924278696,0.13244475,0.19618443,0.7034998,0.20469101,0.13244475,0.13244475
55,30-day,0.4581964686512947,1,0.3846471259991328,0.4581964686512947,0.1176868376011649,0.0394695584351817,-0.44044104,-0.9238185,-0.3684523,-0.3741191,-0.9238185,-0.9238185
56,30-day,0.4194783692558606,1,0.4334108357628186,0.4194783692558606,0.1194178176422913,0.0276929928610722,-0.6680773,-1.1844268,-0.8177299,-0.46564916,-1.1844268,-1.1844268
57,30-day,0.4150290737549464,1,0.4349290256698926,0.4150290737549464,0.1181542345633109,0.0318876743937532,-0.6208497,-1.1782352,-0.4490354,0.23591402,-1.1782352,-1.1782352
58,60-day,0.5148477206627528,0,0.5148477206627528,0.3954887116948763,0.0592598637255529,0.0304037222716336,-0.48684695,-1.6643554,-0.96394324,-1.0630919,-0.48684695,-0.48684695
59,10-day,0.9879219432671864,3,0.0039367271220764,0.0033825102018454,0.0047588379159909,0.9879219432671864,-0.5011374,-1.5230066,-0.6897126,-1.0451223,-1.0451223,-1.0451223
60,10-day,0.9941867192586265,3,0.0015344349416395,0.0012237352838534,0.0030551011297272,0.9941867192586265,-0.063990496,-1.3839133,0.008222907,-0.43688387,-0.43688387,-0.43688387
61,10-day,0.9926676948865256,3,0.0020297944530701,0.0019959187440387,0.0033065958408163,0.9926676948865256,0.010116096,-1.3923715,0.050286736,-0.9146104,-0.9146104,-0.9146104
62,10-day,0.9944694439570108,3,0.0014188463111395,0.0012942481239216,0.0028174618134168,0.9944694439570108,0.04355463,-1.2122854,-0.18455139,-0.6104144,-0.6104144,-0.6104144
63,10-day,0.9964171350002288,3,0.000894042304021,0.0007272002887503,0.0019615886036869,0.9964171350002288,0.57749385,-0.69349486,0.7779531,0.6515052,0.6515052,0.6515052
64,10-day,0.9948534369468688,3,0.0012109833799437,0.0009933674605235,0.0029422301183027,0.9948534369468688,0.7667609,-0.67195714,0.019143656,0.8470635,0.8470635,0.8470635
65,10-day,0.994167466958364,3,0.0017072919706606,0.0017251868066523,0.0024000466704213,0.994167466958364,0.60912246,-1.354906,-0.620838,0.3571543,0.3571543,0.3571543
66,10-day,0.9943935175736746,3,0.0018450257273343,0.0018330687967136,0.0019284069864321,0.9943935175736746,0.8307624,-1.3550073,-0.8729827,0.4273502,0.4273502,0.4273502
67,10-day,0.9959457417329152,3,0.0011454610030815,0.0009481575906799,0.0019606412993198,0.9959457417329152,0.8521824,-1.7690747,-0.85919446,-0.41412792,-0.41412792,-0.41412792
